"","DFLNT1","DFLNT2","DFLNT3","FLNH1","FLNH2","FLNH3","FLNH4","FLNH5","FLNH6","FLNH7","DFLNH1","DFLNH2","DFLNH3","DFLNH4","DFLNH5","DFLNH6","DFLNH7","FDSLNH1","FDSLNH2","FDSLNH3","FDSLNH4","FDSLNH5","FDSLNH6","FDSLNH7","DSLNH1","DSLNH2","DSLNH3"
"DFLNT1",0,0,0,0.0783210731285158,0.0310459499478117,0.093947973313898,0.137057316830013,0.0768257548149319,0.0788162732771913,0.0311814325418109,0.0291213016554013,0.172466196469626,0.0113350628617043,0.0113848189052134,0.0113848189052134,0.0427732586327642,0.138702025606298,0.100334940557253,0.110706942906848,0.0846365183333175,0.0516283956175897,0.0531687734882131,0.0567799775868509,0.057935335631052,0.0709523498267861,0.132538827899716,0.12559980806142
"DFLNT2",0,0,0,0.0667750329538237,0.0201120487908659,0.197057744270608,0.135638624848748,0.324754153079826,0.0650243815820027,0.0201376117474136,0.0505600530031678,0.185014562476425,0.0511732090759509,0.0496664246949428,0.0496664246949428,0.0618498341702519,0.384440233920683,0.171390733349274,0.195452667875936,0.233732621790614,0.0580444125570632,0.0616972557860993,0.0696540825285338,0.0726619815118742,0.107771951947966,0.379333197934816,0.28414489474991
"DFLNT3",0,0,0,0.0469861286254729,0.0146721029057081,0.0439477303988995,0.0722765326543656,0.320481583366082,0.047135321129932,0.012102331457448,0.0639113934271796,0.0894803152502782,0.073036688386772,0.0732402821551853,0.0732402821551853,0.117381168242456,0.167617148812491,0.159472032889754,0.171627002500232,0.234522487506941,0.0137793467277332,0.00958483096317131,0.0118934956646291,0.0132740552556367,0.088468550063283,0.194079584641017,0.211608553031223
"FLNH1",0.0783210731285158,0.0667750329538237,0.0469861286254729,0,0,0,0,0,0,0,0.00116267803507408,0.103496371985143,0.00712278638175523,0,0,0.000942877347371751,0.0870040253018977,0.0804734643354479,0.0774575363532756,0.070702250701569,0.00137197736237349,0.00135924969416878,0.00550197423781473,0.00538929748922146,0.0390756493654187,0.0542160321691035,0.0849298008348008
"FLNH2",0.0310459499478117,0.0201120487908659,0.0146721029057081,0,0,0,0,0,0,0,0,0.0350267379679144,0,0,0,0,0.0271573017354303,0.0280057943022695,0.0260866866338708,0.0236244093897653,0,0,0,0,0.0147018537119897,0.0161352191761815,0.0277458205072396
"FLNH3",0.093947973313898,0.197057744270608,0.0439477303988995,0,0,0,0,0,0,0,0.000110660272962027,0.198806826183252,0,0,0,0.00365893498856584,0.191071633676634,0.0568767745599091,0.0605602369431003,0.0699926218084768,0.117430136635901,0.110163064087979,0.116836367376324,0.117913970618158,0.0653978757285756,0.220933247910184,0.0590709008017607
"FLNH4",0.137057316830013,0.135638624848748,0.0722765326543656,0,0,0,0,0,0,0,0.000159039402011896,0.186951000105831,0.00055880415909948,0.000561257216164179,0.000561257216164179,0.00222996515679441,0.17373130631328,0.0643439637983118,0.0506189023079898,0.0856462669585919,0.0839814069902566,0.092425871181582,0.104052069864785,0.111171602787456,0.0436269629724783,0.184201346760495,0.0808718427510308
"FLNH5",0.0768257548149319,0.324754153079826,0.320481583366082,0,0,0,0,0,0,0,0.112506598074619,0.0370943650774531,0.109552935663903,0.109744750408651,0.109744750408651,0.169670234186363,0.206666735392355,0.199864361274445,0.248320567336593,0.288711236169276,0.0186896262074758,0.0201067906080226,0.0221039106918917,0.0233577873345139,0.129419153238159,0.254370748835693,0.338811019816336
"FLNH6",0.0788162732771913,0.0650243815820027,0.047135321129932,0,0,0,0,0,0,0,0.00117218025527477,0.103332232548631,0,0,0,0.000949116794094373,0.0871837930835783,0.0807032803180915,0.0775769432121897,0.0704166002323303,0,0,0.00364761439504968,0.003572453829224,0.0391098506506873,0.0523068152930029,0.0851906401490398
"FLNH7",0.0311814325418109,0.0201376117474136,0.012102331457448,0,0,0,0,0,0,0,0,0.0351943917879752,0,0,0,0,0.0255984384096435,0.0250429307384087,0.0257602862254025,0.0238313014496748,0,0,0,0,0.0135416029834322,0.015619256124758,0.0270082383946544
"DFLNH1",0.0291213016554013,0.0505600530031678,0.0639113934271796,0.00116267803507408,0,0.000110660272962027,0.000159039402011896,0.112506598074619,0.00117218025527477,0,0,0,0,0,0,0,0,0.0555840492370817,0.0567100242556632,0.0581291759465479,0.00952533418714485,0.00970220180579751,0.0111952830540732,0.0111528228304844,0.0434249693573805,0.0376140054972514,0.0692113426662424
"DFLNH2",0.172466196469626,0.185014562476425,0.0894803152502782,0.103496371985143,0.0350267379679144,0.198806826183252,0.186951000105831,0.0370943650774531,0.103332232548631,0.0351943917879752,0,0,0,0,0,0,0,0.110051983930323,0.127753522033126,0.117523374552975,0.0581821753650711,0.0612615263880714,0.0679179846181018,0.0704187188192352,0.0658477304079353,0.202942162147066,0.147140559866357
"DFLNH3",0.0113350628617043,0.0511732090759509,0.073036688386772,0.00712278638175523,0,0,0.00055880415909948,0.109552935663903,0,0,0,0,0,0,0,0,0,0.0530830153589636,0.0560102301790282,0.0605782360973772,0.00886060654879373,0.00908583725193268,0.00907046476761619,0.00915147521780513,0.0423326892675215,0.0398608357689686,0.0651309066738097
"DFLNH4",0.0113848189052134,0.0496664246949428,0.0732402821551853,0,0,0,0.000561257216164179,0.109744750408651,0,0,0,0,0,0,0,0,0,0.0531345012306356,0.0560646439310807,0.0602217765719004,0.00730223123732254,0.00754565522777439,0.00758433325786734,0.00770081061164329,0.0425666128381106,0.0381529251359526,0.0652621322542479
"DFLNH5",0.0113848189052134,0.0496664246949428,0.0732402821551853,0,0,0,0.000561257216164179,0.109744750408651,0,0,0,0,0,0,0,0,0,0.0531345012306356,0.0560646439310807,0.0602217765719004,0.00730223123732254,0.00754565522777439,0.00758433325786734,0.00770081061164329,0.0425666128381106,0.0381529251359526,0.0652621322542479
"DFLNH6",0.0427732586327642,0.0618498341702519,0.117381168242456,0.000942877347371751,0,0.00365893498856584,0.00222996515679441,0.169670234186363,0.000949116794094373,0,0,0,0,0,0,0,0,0.059777249260398,0.0845588235294118,0.0903732369948662,0.0115050042091479,0.0153001055179691,0.017434103240727,0.0206995211958426,0.0913571986171517,0.0851807098263389,0.0516789471754829
"DFLNH7",0.138702025606298,0.384440233920683,0.167617148812491,0.0870040253018977,0.0271573017354303,0.191071633676634,0.17373130631328,0.206666735392355,0.0871837930835783,0.0255984384096435,0,0,0,0,0,0,0,0.170906289396274,0.17275995704347,0.221343923911034,0.0582804385458742,0.0574859287054409,0.0648518217549213,0.0672085465986423,0.0940332412938558,0.341814577580181,0.258353516731133
"FDSLNH1",0.100334940557253,0.171390733349274,0.159472032889754,0.0804734643354479,0.0280057943022695,0.0568767745599091,0.0643439637983118,0.199864361274445,0.0807032803180915,0.0250429307384087,0.0555840492370817,0.110051983930323,0.0530830153589636,0.0531345012306356,0.0531345012306356,0.059777249260398,0.170906289396274,0,0,0,0,0,0,0,0.151498255847201,0.0714116355105199,0.26109507603498
"FDSLNH2",0.110706942906848,0.195452667875936,0.171627002500232,0.0774575363532756,0.0260866866338708,0.0605602369431003,0.0506189023079898,0.248320567336593,0.0775769432121897,0.0257602862254025,0.0567100242556632,0.127753522033126,0.0560102301790282,0.0560646439310807,0.0560646439310807,0.0845588235294118,0.17275995704347,0,0,0,0,0,0,0,0.151032524522457,0.086327988531364,0.291103392555203
"FDSLNH3",0.0846365183333175,0.233732621790614,0.234522487506941,0.070702250701569,0.0236244093897653,0.0699926218084768,0.0856462669585919,0.288711236169276,0.0704166002323303,0.0238313014496748,0.0581291759465479,0.117523374552975,0.0605782360973772,0.0602217765719004,0.0602217765719004,0.0903732369948662,0.221343923911034,0,0,0,0,0,0,0,0.0372383531318562,0.294611561082837,0.199098453890551
"FDSLNH4",0.0516283956175897,0.0580444125570632,0.0137793467277332,0.00137197736237349,0,0.117430136635901,0.0839814069902566,0.0186896262074758,0,0,0.00952533418714485,0.0581821753650711,0.00886060654879373,0.00730223123732254,0.00730223123732254,0.0115050042091479,0.0582804385458742,0,0,0,0,0,0,0,0.0113017256670805,0.0939675174013921,4.72911622275696e-05
"FDSLNH5",0.0531687734882131,0.0616972557860993,0.00958483096317131,0.00135924969416878,0,0.110163064087979,0.092425871181582,0.0201067906080226,0,0,0.00970220180579751,0.0612615263880714,0.00908583725193268,0.00754565522777439,0.00754565522777439,0.0153001055179691,0.0574859287054409,0,0,0,0,0,0,0,0.0122430471584039,0.094866173761555,0.00109547643781283
"FDSLNH6",0.0567799775868509,0.0696540825285338,0.0118934956646291,0.00550197423781473,0,0.116836367376324,0.104052069864785,0.0221039106918917,0.00364761439504968,0,0.0111952830540732,0.0679179846181018,0.00907046476761619,0.00758433325786734,0.00758433325786734,0.017434103240727,0.0648518217549213,0,0,0,0,0,0,0,0.0140769865540508,0.107215430227523,0.00120025679912916
"FDSLNH7",0.057935335631052,0.0726619815118742,0.0132740552556367,0.00538929748922146,0,0.117913970618158,0.111171602787456,0.0233577873345139,0.003572453829224,0,0.0111528228304844,0.0704187188192352,0.00915147521780513,0.00770081061164329,0.00770081061164329,0.0206995211958426,0.0672085465986423,0,0,0,0,0,0,0,0.0148296976655186,0.111900858086907,0.00151728221449188
"DSLNH1",0.0709523498267861,0.107771951947966,0.088468550063283,0.0390756493654187,0.0147018537119897,0.0653978757285756,0.0436269629724783,0.129419153238159,0.0391098506506873,0.0135416029834322,0.0434249693573805,0.0658477304079353,0.0423326892675215,0.0425666128381106,0.0425666128381106,0.0913571986171517,0.0940332412938558,0.151498255847201,0.151032524522457,0.0372383531318562,0.0113017256670805,0.0122430471584039,0.0140769865540508,0.0148296976655186,0,0,0
"DSLNH2",0.132538827899716,0.379333197934816,0.194079584641017,0.0542160321691035,0.0161352191761815,0.220933247910184,0.184201346760495,0.254370748835693,0.0523068152930029,0.015619256124758,0.0376140054972514,0.202942162147066,0.0398608357689686,0.0381529251359526,0.0381529251359526,0.0851807098263389,0.341814577580181,0.0714116355105199,0.086327988531364,0.294611561082837,0.0939675174013921,0.094866173761555,0.107215430227523,0.111900858086907,0,0,0
"DSLNH3",0.12559980806142,0.28414489474991,0.211608553031223,0.0849298008348008,0.0277458205072396,0.0590709008017607,0.0808718427510308,0.338811019816336,0.0851906401490398,0.0270082383946544,0.0692113426662424,0.147140559866357,0.0651309066738097,0.0652621322542479,0.0652621322542479,0.0516789471754829,0.258353516731133,0.26109507603498,0.291103392555203,0.199098453890551,4.72911622275696e-05,0.00109547643781283,0.00120025679912916,0.00151728221449188,0,0,0
